policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,k,gamma
P1,5,0,21,62,0.2,1.0,nonlinear,365,100,0.5,0.6941539121316267,38.83078242632534,1.0,0.3
P1,5,0,22,63,0.2,1.0,nonlinear,365,100,0.5,0.6878730583423711,37.57461166847422,1.0,0.3
P1,5,0,23,64,0.2,1.0,nonlinear,365,100,0.5,0.6909930052953448,38.19860105906896,1.0,0.3
P1,5,0,24,65,0.2,1.0,nonlinear,365,100,0.5,0.6975078016414115,39.501560328282295,1.0,0.3
P1,5,0,25,66,0.2,1.0,nonlinear,365,100,0.5,0.6894618657644402,37.89237315288805,1.0,0.3
P1,5,0,26,67,0.2,1.0,nonlinear,365,100,0.5,0.6947360282762371,38.94720565524743,1.0,0.3
P1,5,0,27,68,0.2,1.0,nonlinear,365,100,0.5,0.6990262022047495,39.80524044094991,1.0,0.3
P1,5,0,28,69,0.2,1.0,nonlinear,365,100,0.5,0.6987806855075079,39.75613710150159,1.0,0.3
P1,5,0,29,70,0.2,1.0,nonlinear,365,100,0.5,0.6915003835989488,38.300076719789764,1.0,0.3
P1,5,0,30,71,0.2,1.0,nonlinear,365,100,0.5,0.692112359702659,38.42247194053181,1.0,0.3
P2,4,1,1,42,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7040483959360989,40.809679187219785,1.0,0.3
P2,4,1,2,43,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7063168039716977,41.26336079433954,1.0,0.3
P2,4,1,3,44,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7057118171130228,41.142363422604554,1.0,0.3
P2,4,1,4,45,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7077134578430513,41.54269156861026,1.0,0.3
P2,4,1,5,46,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7069471550332979,41.38943100665957,1.0,0.3
P2,4,1,6,47,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7084025789767635,41.680515795352704,1.0,0.3
P2,4,1,7,48,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7057202577456001,41.14405154912002,1.0,0.3
P2,4,1,8,49,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.708685554463002,41.73711089260039,1.0,0.3
P2,4,1,9,50,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7048014555047651,40.96029110095303,1.0,0.3
P2,4,1,10,51,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7085176224299459,41.70352448598918,1.0,0.3
P2,4,1,11,52,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7096851771016381,41.93703542032763,1.0,0.3
P2,4,1,12,53,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7075602922073008,41.512058441460155,1.0,0.3
P2,4,1,13,54,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7077780271927931,41.55560543855863,1.0,0.3
P2,4,1,14,55,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7082425545790747,41.64851091581494,1.0,0.3
P2,4,1,15,56,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7096085383076998,41.921707661539955,1.0,0.3
P2,4,1,16,57,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7038957934339517,40.77915868679034,1.0,0.3
P2,4,1,17,58,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7105603086179252,42.112061723585036,1.0,0.3
P2,4,1,18,59,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7062346889457282,41.24693778914563,1.0,0.3
P2,4,1,19,60,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7062109648837314,41.242192976746274,1.0,0.3
P2,4,1,20,61,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7023753266612567,40.47506533225133,1.0,0.3
P2,4,1,21,62,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7100823670932748,42.016473418654954,1.0,0.3
P2,4,1,22,63,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.703138726150777,40.6277452301554,1.0,0.3
P2,4,1,23,64,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7046890519625656,40.93781039251312,1.0,0.3
P2,4,1,24,65,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7119216568618202,42.38433137236404,1.0,0.3
P2,4,1,25,66,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7054057522567806,41.081150451356116,1.0,0.3
P2,4,1,26,67,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7095723359837345,41.9144671967469,1.0,0.3
P2,4,1,27,68,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7136503996061934,42.73007992123867,1.0,0.3
P2,4,1,28,69,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7129819818006115,42.59639636012229,1.0,0.3
P2,4,1,29,70,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7073191735243868,41.46383470487736,1.0,0.3
P2,4,1,30,71,0.42941098104190173,0.9481987582580971,nonlinear,365,100,0.5,0.7059425684876371,41.188513697527426,1.0,0.3
P3,3,2,1,42,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7107828825202581,42.15657650405162,1.0,0.3
P3,3,2,2,43,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7124385624020185,42.48771248040371,1.0,0.3
P3,3,2,3,44,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7122816591481878,42.45633182963755,1.0,0.3
P3,3,2,4,45,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7140861055915596,42.81722111831192,1.0,0.3
P3,3,2,5,46,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.713449752047861,42.6899504095722,1.0,0.3
P3,3,2,6,47,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7149802246206041,42.99604492412081,1.0,0.3
P3,3,2,7,48,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7120184212982281,42.40368425964562,1.0,0.3
P3,3,2,8,49,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.714547873111523,42.9095746223046,1.0,0.3
P3,3,2,9,50,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7105563113897634,42.111262277952676,1.0,0.3
P3,3,2,10,51,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.715094065663349,43.0188131326698,1.0,0.3
P3,3,2,11,52,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7160685498627103,43.213709972542055,1.0,0.3
P3,3,2,12,53,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7143129600182518,42.86259200365037,1.0,0.3
P3,3,2,13,54,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7142813857727157,42.85627715454314,1.0,0.3
P3,3,2,14,55,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7145957295604388,42.919145912087764,1.0,0.3
P3,3,2,15,56,0.6172368063146965,0.8863337603552759,nonlinear,365,100,0.5,0.7155508808189505,43.11017616379009,1.0,0.3
