policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement
P1,5,0,1,42,0.2,1.0,nonlinear,180,100,0.21,0.37772658386284386,79.86980183944947
P1,5,0,2,43,0.2,1.0,nonlinear,180,100,0.21,0.38106086978406245,81.45755704002976
P1,5,0,3,44,0.2,1.0,nonlinear,180,100,0.21,0.3763139717084099,79.19712938495711
P1,5,0,4,45,0.2,1.0,nonlinear,180,100,0.21,0.3801793389802893,81.03778046680445
P1,5,0,5,46,0.2,1.0,nonlinear,180,100,0.21,0.3782289641578298,80.10903055134754
P1,5,0,6,47,0.2,1.0,nonlinear,180,100,0.21,0.37856851159391075,80.27071980662417
P1,5,0,7,48,0.2,1.0,nonlinear,180,100,0.21,0.37649636505070755,79.2839833574798
P1,5,0,8,49,0.2,1.0,nonlinear,180,100,0.21,0.3813465052179168,81.59357391329371
P1,5,0,9,50,0.2,1.0,nonlinear,180,100,0.21,0.3792066742340275,80.57460677810833
P1,5,0,10,51,0.2,1.0,nonlinear,180,100,0.21,0.3817898264299272,81.80467925234629
P1,5,0,11,52,0.2,1.0,nonlinear,180,100,0.21,0.3825487904041784,82.16609066865638
P1,5,0,12,53,0.2,1.0,nonlinear,180,100,0.21,0.37767181499004293,79.84372142382998
P1,5,0,13,54,0.2,1.0,nonlinear,180,100,0.21,0.37613306480196673,79.11098323903178
P1,5,0,14,55,0.2,1.0,nonlinear,180,100,0.21,0.38292948641301633,82.34737448238873
P1,5,0,15,56,0.2,1.0,nonlinear,180,100,0.21,0.37800688674656874,80.00327940312798
P1,5,0,16,57,0.2,1.0,nonlinear,180,100,0.21,0.37533145283292113,78.72926325377198
P1,5,0,17,58,0.2,1.0,nonlinear,180,100,0.21,0.3818373317333455,81.82730082540263
P1,5,0,18,59,0.2,1.0,nonlinear,180,100,0.21,0.3785706558699935,80.2717408904731
P1,5,0,19,60,0.2,1.0,nonlinear,180,100,0.21,0.37920440649948417,80.57352690451629
P1,5,0,20,61,0.2,1.0,nonlinear,180,100,0.21,0.3769812138100955,79.51486371909309
P1,5,0,21,62,0.2,1.0,nonlinear,180,100,0.21,0.37774855131080826,79.88026252895631
P1,5,0,22,63,0.2,1.0,nonlinear,180,100,0.21,0.37591844838865873,79.00878494698036
P1,5,0,23,64,0.2,1.0,nonlinear,180,100,0.21,0.3783788315487991,80.18039597561862
P1,5,0,24,65,0.2,1.0,nonlinear,180,100,0.21,0.3807435998448962,81.30647611661725
P1,5,0,25,66,0.2,1.0,nonlinear,180,100,0.21,0.374479924071766,78.32377336750763
P1,5,0,26,67,0.2,1.0,nonlinear,180,100,0.21,0.3823775521215523,82.08454862931062
P1,5,0,27,68,0.2,1.0,nonlinear,180,100,0.21,0.3829140977110795,82.34004652908547
P1,5,0,28,69,0.2,1.0,nonlinear,180,100,0.21,0.38395812923109846,82.83720439576118
P1,5,0,29,70,0.2,1.0,nonlinear,180,100,0.21,0.37924365466205884,80.59221650574231
P1,5,0,30,71,0.2,1.0,nonlinear,180,100,0.21,0.37742195419498914,79.72474009285197
