policy,office_days,remote_days,flexibility,collaboration,mean_final_engagement,std_final_engagement,mean_relative_improvement,std_relative_improvement,replications,se_final_engagement,t_critical,ci_margin,ci95_lower,ci95_upper,rank
P3,3,2,0.7094886146797341,0.8196773353931868,0.5601315632816967,0.003459184293742929,166.72931584842704,1.64723061606805,30,0.0006315577560835262,2.045229642132704,0.0012916806434608438,0.5588398826382358,0.5614232439251575,1
P4,2,3,0.8465449782232979,0.7059644256269408,0.5545338962010241,0.003493203262384742,164.06376009572583,1.663430124945109,30,0.0006377687415862535,2.045229642132704,0.001304383535117878,0.5532295126659063,0.555838279736142,2
P2,4,1,0.5050245465765446,0.9155417527999328,0.5492763358533406,0.0035057932260259416,161.56015993016223,1.6694253457266435,30,0.0006400673439477385,2.045229642132704,0.0013090847048030634,0.5479672511485375,0.5505854205581436,3
P5,1,4,0.9384166061432972,0.5577708763999663,0.5329359533814222,0.003594164310151183,153.77902541972486,1.7115068143577181,30,0.0006562016226832657,2.045229642132704,0.001342083009927395,0.5315938703714947,0.5342780363913496,4
P1,5,0,0.2,1.0,0.5147903559067701,0.0037881223814233483,145.1382647175096,1.8038678006777793,30,0.0006916133596319189,2.045229642132704,0.0014145081440141865,0.5133758477627559,0.5162048640507844,5
P6,0,5,1.0,0.2,0.45311862553158233,0.004062464651213509,115.77077406265828,1.9345069767683332,30,0.0007417011761789987,2.045229642132704,0.001516949231125979,0.45160167630045633,0.4546355747627083,6
