policy,office_days,remote_days,replication,seed,flexibility,collaboration,functional_form,simulation_days,n_employees,initial_engagement,final_engagement,relative_improvement,initial_engagement_assumption
P2,4,1,18,59,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5973343232360567,99.11144107868559,0.3
P2,4,1,19,60,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5966053981979871,98.86846606599569,0.3
P2,4,1,20,61,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5931474192605086,97.71580642016954,0.3
P2,4,1,21,62,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6012083394280685,100.40277980935616,0.3
P2,4,1,22,63,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5936285033076918,97.8761677692306,0.3
P2,4,1,23,64,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5954589949204945,98.48633164016483,0.3
P2,4,1,24,65,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6044788412230414,101.49294707434716,0.3
P2,4,1,25,66,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5968852131022013,98.96173770073379,0.3
P2,4,1,26,67,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6009188129811314,100.30627099371046,0.3
P2,4,1,27,68,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6058555162092897,101.9518387364299,0.3
P2,4,1,28,69,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.6041234332086565,101.37447773621884,0.3
P2,4,1,29,70,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5985264869467766,99.50882898225886,0.3
P2,4,1,30,71,0.5050245465765446,0.9155417527999328,nonlinear,365,100,0.3,0.5965811367150394,98.86037890501315,0.3
P3,3,2,1,42,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6026945948061546,100.89819826871822,0.3
P3,3,2,2,43,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6051253219672319,101.70844065574398,0.3
P3,3,2,3,44,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6037358088373983,101.24526961246612,0.3
P3,3,2,4,45,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6071313451985219,102.37711506617396,0.3
P3,3,2,5,46,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6045429963558883,101.51433211862944,0.3
P3,3,2,6,47,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6076585657854765,102.55285526182551,0.3
P3,3,2,7,48,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6037085190264093,101.23617300880312,0.3
P3,3,2,8,49,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6061072200318437,102.03574001061457,0.3
P3,3,2,9,50,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6017777925624497,100.59259752081657,0.3
P3,3,2,10,51,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.609802295374775,103.26743179159168,0.3
P3,3,2,11,52,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6089494514033583,102.98315046778612,0.3
P3,3,2,12,53,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6066677656009194,102.22258853363981,0.3
P3,3,2,13,54,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6062531363858802,102.08437879529339,0.3
P3,3,2,14,55,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.607490016666351,102.49667222211703,0.3
P3,3,2,15,56,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6070202179382044,102.34007264606812,0.3
P3,3,2,16,57,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6024892456306554,100.82974854355183,0.3
P3,3,2,17,58,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6079399285044271,102.64664283480904,0.3
P3,3,2,18,59,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6054342200779502,101.81140669265008,0.3
P3,3,2,19,60,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6038173068759568,101.27243562531893,0.3
P3,3,2,20,61,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6011560650538099,100.38535501793663,0.3
P3,3,2,21,62,0.7094886146797341,0.8196773353931868,nonlinear,365,100,0.3,0.6103161073904858,103.43870246349528,0.3
